Voltage_0,Voltage_1
0.134346,0.968502
0.13209,0.971403
0.13209,0.977527
0.134669,0.981073
0.134669,0.981717
0.133702,0.980428
0.13338,0.976238
0.134346,0.972048
0.135958,0.970436
0.134991,0.9627
0.131446,0.957866
0.130801,0.952709
0.133057,0.949163
0.13209,0.945618
0.132413,0.942394
0.13209,0.931113
0.13209,0.931436
0.130801,0.934014
0.132413,0.938204
0.134024,0.944006
0.132413,0.950452
0.133702,0.957543
0.13338,0.963667
0.132735,0.975271
0.133057,0.975915
0.131446,0.978172
0.131446,0.977527
0.13209,0.972692
0.131768,0.968502
0.134669,0.963667
0.130479,0.944006
0.133702,0.935948
0.132413,0.92789
0.134669,0.922088
0.13338,0.918221
0.132735,0.916609
0.133057,0.916931
0.133057,0.931113
0.131768,0.927246
0.131446,0.934014
0.134024,0.94175
0.131768,0.949485
0.13209,0.957543
0.13209,0.95851
0.132735,0.959155
0.132735,0.961734
0.134991,0.960767
0.135958,0.957866
0.134024,0.953353
0.135636,0.946585
0.132413,0.938527
0.133702,0.940783
0.132413,0.930146
0.13338,0.925956
0.131446,0.924667
0.133057,0.924989
0.130801,0.92789
0.133057,0.926601
0.129512,0.929179
0.135958,0.937237
0.134024,0.946262
0.134669,0.953676
0.13338,0.961734
0.133702,0.967535
0.13338,0.971403
0.134024,0.981073
0.13338,0.975271
0.134669,0.970436
0.130156,0.964312
0.13338,0.956899
0.13209,0.948841
0.133702,0.940138
0.131446,0.922411
0.131768,0.915964
0.133702,0.91113
0.134991,0.908551
0.133057,0.909196
0.13209,0.91113
0.131446,0.914353
0.137892,0.929824
0.134669,0.930146
0.132413,0.93756
0.131768,0.944006
0.132413,0.949808
0.132413,0.952709
0.133057,0.948841
0.13338,0.943684
0.131768,0.942394
0.133702,0.938849
0.134991,0.934014
0.13209,0.929824
0.132413,0.924989
