Voltage_0,Voltage_1
27:29.4,27:29.4
Volts,Volts
Time,Time
6.00E-01,6.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.88889,1.182199
0.890501,1.199604
0.89308,1.189612
0.891791,1.143843
0.894369,1.06004
0.890179,0.966568
0.892113,0.887278
0.891791,0.841187
0.892435,0.813145
0.893402,0.804443
0.893402,0.811534
0.892113,0.836997
0.892113,0.876319
0.892435,0.928857
0.890501,0.964957
0.891791,1.004279
0.88889,1.031999
0.890824,1.043924
0.892435,1.038123
0.88889,1.019106
0.894369,0.9988
0.891791,0.973982
0.890824,0.959477
0.889534,0.947874
0.894047,0.931113
0.893402,0.907262
0.890179,0.8847
0.89308,0.869873
0.892435,0.867939
0.892113,0.878253
0.892435,0.89727
0.892113,0.91951
0.890824,0.939816
0.888568,0.959477
0.889212,0.978816
0.894369,0.993643
0.893725,1.00718
0.890501,1.011048
0.891468,1.022007
0.891468,1.046503
0.891146,1.083892
0.895658,1.13514
0.895658,1.196703
0.895658,1.246984
0.895336,1.264067
0.895981,1.234736
0.894369,1.160603
0.89308,1.061007
0.894369,0.968824
0.894692,0.904683
0.894369,0.865361
0.894692,0.835708
0.891791,0.815402
0.894047,0.808955
0.893402,0.823137
0.894047,0.861493
0.896625,0.902105
0.895336,0.953353
0.898237,0.985585
0.90146,0.994932
0.900816,0.98494
0.900816,0.963345
0.903716,0.937237
0.905006,0.90984
0.904039,0.886956
0.90146,0.852468
0.907262,0.827005
0.902749,0.802187
0.904683,0.779947
0.905973,0.762542
0.907262,0.740946
0.908229,0.741269
0.910485,0.757384
0.90984,0.788649
0.913386,0.839898
0.910485,0.917576
0.91113,1.039734
0.913064,1.204438
0.913064,1.327886
0.91532,1.392672
0.913708,1.359796
0.917898,1.260522
0.917576,1.139653
0.914031,1.014916
0.919188,0.918865
0.914353,0.851823
0.918865,0.802187
0.918543,0.758029
0.917254,0.736112
0.921122,0.725797
0.920477,0.726442
0.919832,0.737401
0.918865,0.758996
0.920477,0.79155
0.918865,0.832807
0.919188,0.885022
0.919832,0.950775
0.921444,1.032321
0.923055,1.111933
0.921122,1.162537
,
2,
100,100
20-10-23,20-10-23
27:29.5,27:29.5
Volts,Volts
Time,Time
7.00E-01,7.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.923378,1.175108
0.922411,1.167372
0.925312,1.139975
0.920799,1.100652
0.922411,1.05585
0.924345,1.01556
0.926601,0.981717
0.925956,0.954643
0.924989,0.928213
0.924667,0.905973
0.9237,0.89308
0.924989,0.899204
0.925312,0.909518
0.920799,0.920799
0.925634,0.928857
0.925634,0.938849
0.926279,0.952064
0.925634,0.974626
0.925312,1.001701
0.925956,1.039734
0.925312,1.076801
0.928213,1.097429
0.927568,1.098396
0.929502,1.089049
0.930791,1.065197
0.925312,1.013949
0.930146,0.948196
0.926923,0.887278
0.928857,0.839898
0.929824,0.8096
0.929502,0.793484
0.929179,0.78736
0.928213,0.790583
0.932403,0.802509
0.930146,0.811211
0.92789,0.827005
0.930791,0.847956
0.935303,0.870518
0.933047,0.893725
0.934337,0.908229
0.933692,0.911774
0.934981,0.905973
0.931758,0.905006
0.932403,0.883088
0.938204,0.866972
0.932725,0.854402
0.934981,0.842798
0.93337,0.834096
0.934659,0.821203
0.934014,0.812178
0.935948,0.80541
0.938527,0.800897
0.936915,0.80122
0.934981,0.8096
0.936915,0.826683
0.935303,0.856658
0.934981,0.888245
0.935626,0.931113
0.934981,0.980428
0.937882,1.031999
0.93337,1.071966
0.936593,1.088082
0.934659,1.082925
0.935948,1.057139
0.934337,1.028453
0.933047,0.999122
0.931436,0.963345
0.935303,0.926279
0.934659,0.891468
0.93337,0.863427
0.931758,0.841187
0.931758,0.828939
0.931113,0.83184
0.929179,0.838931
0.929824,0.864716
0.928857,0.912419
0.926601,0.992031
0.926601,1.110322
0.926279,1.235059
0.926601,1.326597
0.924345,1.368176
0.925634,1.360118
0.924022,1.318861
0.920799,1.241183
0.918221,1.136752
0.919832,1.021362
0.917254,0.926923
0.920155,0.861815
0.917898,0.816368
0.916609,0.783814
0.916931,0.758996
0.915964,0.749971
0.914998,0.744492
0.912741,0.75674
0.912097,0.778013
0.913708,0.80541
0.911452,0.826683
0.909196,0.863104
0.908551,0.905328
0.909518,0.946907
,
2,
100,100
20-10-23,20-10-23
27:29.6,27:29.6
Volts,Volts
Time,Time
8.00E-01,8.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.909518,0.977849
0.908229,0.987841
0.907584,0.97656
0.90694,0.952064
0.906295,0.925634
0.905328,0.90565
0.904361,0.887923
0.902105,0.880187
0.902105,0.878898
0.898237,0.882443
0.899204,0.884377
0.898559,0.872129
0.896948,0.866005
0.897915,0.87084
