Voltage_0,Voltage_1
0.394134,0.939816
0.397034,0.937882
0.395745,0.925956
0.394456,0.928535
0.396712,0.931436
0.395745,0.935626
0.395745,0.940783
0.397357,0.948841
0.395745,0.960122
0.395423,0.970114
0.392522,0.976882
0.394456,0.983973
0.392522,0.991064
0.395745,0.988808
0.393489,0.990097
0.395423,0.993965
0.397357,0.997188
0.398324,1.000089
0.397357,1.003312
0.396712,1.006213
0.396712,1.016527
0.393167,1.017172
0.39639,1.017817
0.396067,1.013949
0.393489,1.004602
0.393489,0.990097
0.393167,0.978172
0.393489,0.968824
,
2,
100,100
20-10-23,20-10-23
44:21.2,44:21.2
Volts,Volts
Time,Time
9.00E-01,9.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.395745,0.954965
0.396067,0.93627
0.394456,0.91532
0.398324,0.895981
0.393811,0.881477
0.394456,0.871807
0.396067,0.863427
0.392844,0.859237
0.393489,0.853757
0.3951,0.854402
0.396712,0.86246
0.397679,0.871485
0.395423,0.88051
0.396712,0.889534
0.399291,0.900493
0.396067,0.909518
0.396067,0.915642
0.395423,0.918865
0.395423,0.913386
0.396712,0.904683
0.397034,0.896948
0.399291,0.889212
0.396712,0.883088
0.398001,0.880832
0.397679,0.890824
0.398001,0.891146
0.393489,0.901138
0.397679,0.912097
0.397679,0.923378
0.39639,0.924989
0.396067,0.93337
0.401547,0.943361
0.401547,0.950775
0.399935,0.956254
0.401869,0.957221
0.398968,0.960767
0.399613,0.961411
0.40058,0.9627
0.399935,0.964312
0.397034,0.965279
0.398968,0.963345
0.399291,0.956254
0.401224,0.956899
0.40058,0.957866
0.397357,0.959155
0.398001,0.9598
0.40058,0.957543
0.40058,0.96399
0.399935,0.957866
0.39639,0.961411
0.397679,0.965924
0.400258,0.969147
0.398001,0.964957
0.397357,0.960767
0.401547,0.955287
0.402191,0.945618
0.400258,0.932725
0.399291,0.917898
0.399935,0.910485
0.398646,0.90146
0.398646,0.89727
0.399613,0.896303
0.396067,0.899849
0.398001,0.89727
0.394456,0.905006
0.401547,0.916287
0.399935,0.927246
0.399935,0.93756
0.400902,0.943361
0.396712,0.95851
0.398646,0.953031
0.399291,0.958188
0.401224,0.958188
0.398001,0.955609
0.398324,0.944973
0.40058,0.935303
0.398324,0.927568
0.400258,0.918221
0.398324,0.908873
0.398646,0.906295
0.398001,0.916287
0.396712,0.921766
0.394134,0.93627
0.394456,0.956254
0.398001,0.980106
0.39639,1.002023
0.394778,1.010403
0.39639,1.020718
0.397034,1.024263
0.398968,1.022007
0.398968,1.015238
0.398001,1.009114
0.399935,1.010081
0.398324,0.997833
0.400902,0.981717
0.397034,0.967213
0.395423,0.953353
0.395423,0.942717
0.395745,0.922733
0.393489,0.915964
,
2,
100,100
20-10-23,20-10-23
44:21.3,44:21.3
Volts,Volts
Time,Time
1.00E+00,1.00E+00
0.001,0.001
,
Voltage,Voltage_0
0.397357,0.911774
0.398001,0.909518
0.394778,0.906617
0.396712,0.90565
0.396067,0.91113
0.394134,0.915642
0.395745,0.921766
0.3951,0.927246
0.394134,0.927246
0.395423,0.917576
0.393811,0.91113
0.397679,0.902749
0.400258,0.894369
0.396067,0.885667
0.397034,0.887601
0.397357,0.876319
0.394134,0.874063
0.398001,0.872129
0.396067,0.872452
0.393811,0.863427
0.394456,0.866005
0.398646,0.869873
0.398968,0.874708
0.396712,0.881154
0.397357,0.897915
0.394456,0.905328
0.398324,0.920155
0.397679,0.935626
0.395423,0.949808
0.397357,0.953676
0.395423,0.957543
0.398324,0.96399
0.399291,0.970436
0.396712,0.976882
0.398324,0.983651
0.397679,0.989775
0.396712,1.001701
0.398001,1.008792
0.393811,1.011048
0.395423,1.010081
0.397357,1.002345
0.395423,0.981717
0.393811,0.963023
0.394778,0.952709
